"section","metric","value","detail"
"corpus","documents","1171897",""
"corpus","chars","1844140560","raw, before whitespace normalization"
"corpus","bytes_utf8","1944925241",""
"corpus","unique_chars","8070",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"compression","base_units_total","1944925241","raw UTF-8 bytes"
"compression","final_tokens_total","826358183",""
"compression","compression_ratio","2.354","base units absorbed per final token"
"compression","chars_per_token","2.232","approx; whitespace collapsed before training"
"timing","load_seconds","34.241","wall time to load the corpus"
"timing","train_seconds","12608.394","wall time to train the tokenizer"
"timing","base_units_per_second","154256","training throughput over the base stream"
"top_token",".","14684732","rank=1 id=46 share=1.78% base_units=1 merge=no"
"top_token"," w","14564435","rank=2 id=258 share=1.76% base_units=2 merge=yes"
"top_token",",","13286638","rank=3 id=44 share=1.61% base_units=1 merge=no"
"top_token"," z","7435807","rank=4 id=264 share=0.90% base_units=2 merge=yes"
"top_token","u","7392936","rank=5 id=117 share=0.89% base_units=1 merge=no"
"top_token","t","7242990","rank=6 id=116 share=0.88% base_units=1 merge=no"
"top_token","m","7079957","rank=7 id=109 share=0.86% base_units=1 merge=no"
"top_token","k","6887194","rank=8 id=107 share=0.83% base_units=1 merge=no"
"top_token","d","6649722","rank=9 id=100 share=0.80% base_units=1 merge=no"
"top_token"," i","6391427","rank=10 id=289 share=0.77% base_units=2 merge=yes"
