"section","metric","value","detail"
"corpus","documents","486",""
"corpus","chars","5348450","raw, before whitespace normalization"
"corpus","bytes_utf8","5366695",""
"corpus","unique_chars","252",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","0","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","744","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","5366695","raw UTF-8 bytes"
"compression","final_tokens_total","2114261",""
"compression","compression_ratio","2.538","base units absorbed per final token"
"compression","chars_per_token","2.53","approx; whitespace collapsed before training"
"timing","load_seconds","0.145","wall time to load the corpus"
"timing","train_seconds","5.461","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","5.461","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","982659","training throughput over the base stream (uses cumulative time)"
"top_token"," the","44863","rank=1 id=264 share=2.12% base_units=4 merge=yes"
"top_token","s","38048","rank=2 id=115 share=1.80% base_units=1 merge=no"
"top_token",",","35378","rank=3 id=44 share=1.67% base_units=1 merge=no"
"top_token",".","31013","rank=4 id=46 share=1.47% base_units=1 merge=no"
"top_token"," of","23478","rank=5 id=287 share=1.11% base_units=3 merge=yes"
"top_token"," and","22267","rank=6 id=289 share=1.05% base_units=4 merge=yes"
"top_token"," to","22046","rank=7 id=290 share=1.04% base_units=3 merge=yes"
"top_token","ing","21981","rank=8 id=280 share=1.04% base_units=3 merge=yes"
"top_token","ed","21236","rank=9 id=273 share=1.00% base_units=2 merge=yes"
"top_token","e","20580","rank=10 id=101 share=0.97% base_units=1 merge=no"
